"Jahr","Gemeinde_Nr","Gemeinde","Abfallart","Wert","Einheit"
2021,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",323,"Tonnen"
2021,1,"Aeugst a.A.","Biogene Abfälle",384,"Tonnen"
2021,1,"Aeugst a.A.","Papier",81,"Tonnen"
2021,1,"Aeugst a.A.","Karton",59,"Tonnen"
2021,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2021,1,"Aeugst a.A.","Glas",100,"Tonnen"
2021,1,"Aeugst a.A.","Metalle",18,"Tonnen"
2021,1,"Aeugst a.A.","Textilien",0,"Tonnen"
2021,1,"Aeugst a.A.","Kunststoffe",NA,"Tonnen"
2021,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2021,1,"Aeugst a.A.","Strassenwischgut",10,"Tonnen"
2021,1,"Aeugst a.A.","Strassensammlerschlämme",54,"Tonnen"
2021,1,"Aeugst a.A.","Grubengut",NA,"Tonnen"
2020,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",330,"Tonnen"
2020,1,"Aeugst a.A.","Biogene Abfälle",413,"Tonnen"
2020,1,"Aeugst a.A.","Papier",86,"Tonnen"
2020,1,"Aeugst a.A.","Karton",57,"Tonnen"
2020,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2020,1,"Aeugst a.A.","Glas",99,"Tonnen"
2020,1,"Aeugst a.A.","Metalle",19,"Tonnen"
2020,1,"Aeugst a.A.","Textilien",NA,"Tonnen"
2020,1,"Aeugst a.A.","Kunststoffe",NA,"Tonnen"
2020,1,"Aeugst a.A.","Altöl",7,"Tonnen"
2020,1,"Aeugst a.A.","Strassenwischgut",9,"Tonnen"
2020,1,"Aeugst a.A.","Strassensammlerschlämme",54,"Tonnen"
2020,1,"Aeugst a.A.","Grubengut",NA,"Tonnen"
2019,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",319,"Tonnen"
2019,1,"Aeugst a.A.","Biogene Abfälle",359,"Tonnen"
2019,1,"Aeugst a.A.","Papier",88,"Tonnen"
2019,1,"Aeugst a.A.","Karton",50,"Tonnen"
2019,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2019,1,"Aeugst a.A.","Glas",89,"Tonnen"
2019,1,"Aeugst a.A.","Metalle",15,"Tonnen"
2019,1,"Aeugst a.A.","Textilien",NA,"Tonnen"
2019,1,"Aeugst a.A.","Kunststoffe",NA,"Tonnen"
2019,1,"Aeugst a.A.","Altöl",2,"Tonnen"
2019,1,"Aeugst a.A.","Strassenwischgut",9,"Tonnen"
2019,1,"Aeugst a.A.","Strassensammlerschlämme",4,"Tonnen"
2019,1,"Aeugst a.A.","Grubengut",NA,"Tonnen"
2018,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",303,"Tonnen"
2018,1,"Aeugst a.A.","Biogene Abfälle",339,"Tonnen"
2018,1,"Aeugst a.A.","Papier",98,"Tonnen"
2018,1,"Aeugst a.A.","Karton",47,"Tonnen"
2018,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2018,1,"Aeugst a.A.","Glas",84,"Tonnen"
2018,1,"Aeugst a.A.","Metalle",15,"Tonnen"
2018,1,"Aeugst a.A.","Textilien",NA,"Tonnen"
2018,1,"Aeugst a.A.","Kunststoffe",NA,"Tonnen"
2018,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2018,1,"Aeugst a.A.","Strassenwischgut",9,"Tonnen"
2018,1,"Aeugst a.A.","Strassensammlerschlämme",68,"Tonnen"
2018,1,"Aeugst a.A.","Grubengut",NA,"Tonnen"
2017,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",263,"Tonnen"
2017,1,"Aeugst a.A.","Biogene Abfälle",329,"Tonnen"
2017,1,"Aeugst a.A.","Papier",101,"Tonnen"
2017,1,"Aeugst a.A.","Karton",44,"Tonnen"
2017,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2017,1,"Aeugst a.A.","Glas",80,"Tonnen"
2017,1,"Aeugst a.A.","Metalle",13,"Tonnen"
2017,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2017,1,"Aeugst a.A.","Grubengut",NA,"Tonnen"
2016,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",244,"Tonnen"
2016,1,"Aeugst a.A.","Biogene Abfälle",352,"Tonnen"
2016,1,"Aeugst a.A.","Papier",106,"Tonnen"
2016,1,"Aeugst a.A.","Karton",51,"Tonnen"
2016,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2016,1,"Aeugst a.A.","Glas",82,"Tonnen"
2016,1,"Aeugst a.A.","Metalle",11,"Tonnen"
2016,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2016,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2015,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",255,"Tonnen"
2015,1,"Aeugst a.A.","Biogene Abfälle",335,"Tonnen"
2015,1,"Aeugst a.A.","Papier",99,"Tonnen"
2015,1,"Aeugst a.A.","Karton",47,"Tonnen"
2015,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2015,1,"Aeugst a.A.","Glas",78,"Tonnen"
2015,1,"Aeugst a.A.","Metalle",8,"Tonnen"
2015,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2015,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2014,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",252,"Tonnen"
2014,1,"Aeugst a.A.","Biogene Abfälle",344,"Tonnen"
2014,1,"Aeugst a.A.","Papier",126,"Tonnen"
2014,1,"Aeugst a.A.","Karton",55,"Tonnen"
2014,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2014,1,"Aeugst a.A.","Glas",83,"Tonnen"
2014,1,"Aeugst a.A.","Metalle",6,"Tonnen"
2014,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2014,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2013,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",254,"Tonnen"
2013,1,"Aeugst a.A.","Biogene Abfälle",342,"Tonnen"
2013,1,"Aeugst a.A.","Papier",128,"Tonnen"
2013,1,"Aeugst a.A.","Karton",55,"Tonnen"
2013,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2013,1,"Aeugst a.A.","Glas",84,"Tonnen"
2013,1,"Aeugst a.A.","Metalle",6,"Tonnen"
2013,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2013,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2012,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",295,"Tonnen"
2012,1,"Aeugst a.A.","Biogene Abfälle",355,"Tonnen"
2012,1,"Aeugst a.A.","Papier",149,"Tonnen"
2012,1,"Aeugst a.A.","Karton",57,"Tonnen"
2012,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2012,1,"Aeugst a.A.","Glas",81,"Tonnen"
2012,1,"Aeugst a.A.","Metalle",7,"Tonnen"
2012,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2012,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2011,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",283,"Tonnen"
2011,1,"Aeugst a.A.","Biogene Abfälle",329,"Tonnen"
2011,1,"Aeugst a.A.","Papier",172,"Tonnen"
2011,1,"Aeugst a.A.","Karton",62,"Tonnen"
2011,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2011,1,"Aeugst a.A.","Glas",84,"Tonnen"
2011,1,"Aeugst a.A.","Metalle",7,"Tonnen"
2011,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2011,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2010,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",290,"Tonnen"
2010,1,"Aeugst a.A.","Biogene Abfälle",305,"Tonnen"
2010,1,"Aeugst a.A.","Papier",166,"Tonnen"
2010,1,"Aeugst a.A.","Karton",56,"Tonnen"
2010,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2010,1,"Aeugst a.A.","Glas",81,"Tonnen"
2010,1,"Aeugst a.A.","Metalle",7,"Tonnen"
2010,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2010,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2009,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",264,"Tonnen"
2009,1,"Aeugst a.A.","Biogene Abfälle",325,"Tonnen"
2009,1,"Aeugst a.A.","Papier",180,"Tonnen"
2009,1,"Aeugst a.A.","Karton",57,"Tonnen"
2009,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",NA,"Tonnen"
2009,1,"Aeugst a.A.","Glas",76,"Tonnen"
2009,1,"Aeugst a.A.","Metalle",7,"Tonnen"
2009,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2009,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2008,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",266,"Tonnen"
2008,1,"Aeugst a.A.","Biogene Abfälle",0,"Tonnen"
2008,1,"Aeugst a.A.","Papier",157,"Tonnen"
2008,1,"Aeugst a.A.","Karton",50,"Tonnen"
2008,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2008,1,"Aeugst a.A.","Glas",82,"Tonnen"
2008,1,"Aeugst a.A.","Metalle",6,"Tonnen"
2008,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2008,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2007,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",258,"Tonnen"
2007,1,"Aeugst a.A.","Biogene Abfälle",279,"Tonnen"
2007,1,"Aeugst a.A.","Papier",161,"Tonnen"
2007,1,"Aeugst a.A.","Karton",54,"Tonnen"
2007,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2007,1,"Aeugst a.A.","Glas",81,"Tonnen"
2007,1,"Aeugst a.A.","Metalle",6,"Tonnen"
2007,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2007,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2006,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",261,"Tonnen"
2006,1,"Aeugst a.A.","Biogene Abfälle",633,"Tonnen"
2006,1,"Aeugst a.A.","Papier",125,"Tonnen"
2006,1,"Aeugst a.A.","Karton",58,"Tonnen"
2006,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2006,1,"Aeugst a.A.","Glas",77,"Tonnen"
2006,1,"Aeugst a.A.","Metalle",9,"Tonnen"
2006,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2006,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2005,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",261,"Tonnen"
2005,1,"Aeugst a.A.","Biogene Abfälle",262,"Tonnen"
2005,1,"Aeugst a.A.","Papier",151,"Tonnen"
2005,1,"Aeugst a.A.","Karton",61,"Tonnen"
2005,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2005,1,"Aeugst a.A.","Glas",75,"Tonnen"
2005,1,"Aeugst a.A.","Metalle",21,"Tonnen"
2005,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2005,1,"Aeugst a.A.","Grubengut",0,"Tonnen"
2004,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",246,"Tonnen"
2004,1,"Aeugst a.A.","Biogene Abfälle",255,"Tonnen"
2004,1,"Aeugst a.A.","Papier",147,"Tonnen"
2004,1,"Aeugst a.A.","Karton",60,"Tonnen"
2004,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2004,1,"Aeugst a.A.","Glas",66,"Tonnen"
2004,1,"Aeugst a.A.","Metalle",21,"Tonnen"
2004,1,"Aeugst a.A.","Altöl",1,"Tonnen"
2004,1,"Aeugst a.A.","Grubengut",8,"Tonnen"
2003,1,"Aeugst a.A.","Brennbare Abfälle und Sperrgut",257,"Tonnen"
2003,1,"Aeugst a.A.","Biogene Abfälle",238,"Tonnen"
2003,1,"Aeugst a.A.","Papier",141,"Tonnen"
2003,1,"Aeugst a.A.","Karton",56,"Tonnen"
2003,1,"Aeugst a.A.","Papier + Karton falls nicht separat angegeben",0,"Tonnen"
2003,1,"Aeugst a.A.","Glas",66,"Tonnen"
2003,1,"Aeugst a.A.","Metalle",23,"Tonnen"
2003,1,"Aeugst a.A.","Altöl",0,"Tonnen"
2003,1,"Aeugst a.A.","Grubengut",7,"Tonnen"
